B,candidate_idx,sample_idx,d,rank
100,23,3,26.809808053803444,28
100,24,3,2.1534966854402087,15
100,25,3,8.795841557009886,22
100,26,3,0.3031128279838688,5
100,27,3,0.12074255107750168,4
100,28,3,0.11785422584571431,3
100,29,3,0.6398613476547075,10
100,0,4,1.9925797831548875,14
100,1,4,3.1460547156647314,17
100,2,4,0.40615320146034384,6
100,3,4,9.589481127437267,22
100,4,4,1.9192428720820596,13
100,5,4,16.959506160026663,26
100,6,4,5.882865972206356,20
100,7,4,0.10221118628552027,1
100,8,4,2.980391992468885,16
100,9,4,4.073054419566571,18
100,10,4,0.48837794470487134,8
100,11,4,1.1631197353651723,12
100,12,4,4.811025194011587,19
100,13,4,12.221147853509784,25
100,14,4,0.5843710769017327,10
100,15,4,26.661960079592237,28
100,16,4,0.1065385999628569,2
100,17,4,9.956348875665936,23
100,18,4,18.871167123938477,27
100,19,4,0.08683856248095934,0
100,20,4,0.4827476055893811,7
100,21,4,8.348810920971022,21
100,22,4,1.0371423101430541,11
100,23,4,31.539281994062446,29
100,24,4,2.0845471527874393,15
100,25,4,10.421660264451676,24
100,26,4,0.3121622793001875,5
100,27,4,0.10739280567020446,3
100,28,4,0.1114496343932904,4
100,29,4,0.5372318864555152,9
100,0,5,2.0972412364197495,14
100,1,5,3.606495279885907,17
100,2,5,0.39877660362576456,6
100,3,5,12.478933547838462,25
100,4,5,2.013915822701146,13
100,5,5,18.43907749278864,26
100,6,5,6.6987229629878975,21
100,7,5,0.1081012526243553,3
100,8,5,3.4376508325131026,16
100,9,5,4.038877399806392,18
100,10,5,0.5483953241653904,8
100,11,5,0.9452924020333033,11
100,12,5,5.19354096535255,19
100,13,5,12.099662598628715,24
100,14,5,0.7309763558226078,10
100,15,5,29.186996819184508,28
100,16,5,0.09646539550821245,0
100,17,5,10.980377724910568,23
100,18,5,19.65051121433027,27
100,19,5,0.10207485512156271,1
100,20,5,0.47141034359505724,7
100,21,5,6.507704354662374,20
100,22,5,1.170895188516921,12
100,23,5,33.66350036602361,29
100,24,5,2.3403800023666115,15
100,25,5,8.674614091231755,22
100,26,5,0.38225045510670574,5
100,27,5,0.11623309191880551,4
100,28,5,0.10723759540136095,2
100,29,5,0.5810419895713705,9
100,0,6,1.986728420572501,14
100,1,6,3.949302774665502,18
100,2,6,0.35663867321339326,6
100,3,6,11.669868263217225,25
100,4,6,2.0916722413842437,15
100,5,6,21.07576406978313,27
100,6,6,4.953423660761727,20
100,7,6,0.11151641427422491,4
